Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,22487.986328,23018.951172,17708.623047,20553.271484,20553.271484,241481358810
2022-06-20,20553.371094,21783.724609,19689.169922,21027.294922,21027.294922,175909056122
2022-06-27,21028.238281,21478.089844,18729.656250,19297.076172,19297.076172,157426002965
2022-07-04,19297.314453,22314.941406,19063.066406,20860.449219,20860.449219,206953871021
2022-07-11,20856.353516,21600.640625,18999.953125,20779.343750,20779.343750,187297974219
2022-07-18,20781.912109,24196.818359,20781.912109,22609.164063,22609.164063,244312089708
2022-07-25,22607.156250,24572.580078,20776.816406,23336.896484,23336.896484,223759636595
2022-08-01,23336.718750,23578.650391,22485.701172,23175.890625,23175.890625,166393135564
2022-08-08,23179.527344,24974.914063,22771.519531,24319.333984,24319.333984,195343016900
2022-08-15,24318.316406,25135.589844,20856.730469,21534.121094,21534.121094,208764012537
2022-08-22,21531.462891,21804.908203,19616.814453,19616.814453,19616.814453,223346042309
2022-08-29,19615.154297,20542.644531,19600.785156,19986.712891,19986.712891,208511390280
2022-09-05,19988.789063,21770.552734,18644.466797,21769.255859,21769.255859,259528892947
2022-09-12,21770.148438,22673.820313,19387.492188,19419.505859,19419.505859,261900187496
2022-09-19,19418.572266,19674.630859,18290.314453,18802.097656,18802.097656,252873598365
2022-09-26,18803.900391,20338.455078,18553.296875,19044.107422,19044.107422,280290121527
2022-10-03,19044.068359,20408.392578,19025.226563,19446.425781,19446.425781,196809212801
2022-10-10,19446.416016,19889.146484,18319.822266,19268.093750,19268.093750,197940078443
2022-10-17,19268.562500,19666.994141,18770.970703,19567.007813,19567.007813,175664450104
2022-10-24,19567.769531,20988.394531,19206.324219,20635.603516,20635.603516,302335723765
2022-10-31,20633.695313,21446.886719,20086.240234,20926.486328,20926.486328,321270158405
2022-11-07,20924.621094,21053.246094,15682.692383,16353.365234,16353.365234,471409252759
2022-11-14,16352.028320,17109.324219,15872.941406,16291.832031,16291.832031,212305927001
2022-11-21,16291.223633,16771.474609,15599.046875,16444.626953,16444.626953,184366390569
2022-11-28,16440.222656,17197.498047,16054.530273,17130.486328,17130.486328,156325682750
2022-12-05,17128.894531,17378.152344,16750.558594,17104.193359,17104.193359,129428712529
2022-12-12,17102.500000,18318.531250,16584.701172,16757.976563,16757.976563,142170798266
2022-12-19,16759.041016,17012.984375,16398.136719,16841.986328,16841.986328,107997970888
2022-12-26,16842.250000,16959.845703,16408.474609,16625.080078,16625.080078,95526200508
2023-01-02,16625.509766,17091.144531,16572.228516,17091.144531,17091.144531,90012614323
2023-01-09,17093.992188,21075.142578,17093.992188,20880.798828,20880.798828,175267920183
2023-01-16,20882.224609,23282.347656,20541.544922,22720.416016,22720.416016,188938770069
2023-01-23,22721.087891,23919.890625,22406.076172,23774.566406,23774.566406,177486927537
2023-01-30,23774.648438,24167.210938,22657.582031,22955.666016,22955.666016,171080243769
2023-02-06,22954.021484,23367.958984,21539.392578,21788.203125,21788.203125,170212590188
2023-02-13,21787.000000,25134.117188,21460.087891,24327.642578,24327.642578,209050300776
2023-02-20,24336.623047,25126.851563,22861.558594,23561.212891,23561.212891,180472737469
2023-02-27,23561.451172,23880.632813,22198.980469,22435.513672,22435.513672,138790785900
2023-03-06,22436.816406,22584.292969,19628.253906,22163.949219,22163.949219,192057466346
2023-03-13,22156.406250,28440.560547,21918.199219,28038.675781,28038.675781,305833103060
2023-03-20,28041.601563,28803.335938,26759.996094,27994.330078,27994.330078,191720356212
2023-03-27,27994.068359,29159.902344,26606.689453,28199.308594,28199.308594,121255230918
2023-04-03,28183.080078,28739.238281,27276.720703,28333.050781,28333.050781,98141424556
2023-04-10,28336.027344,31005.607422,28189.271484,30315.355469,30315.355469,122998807738
2023-04-17,30317.146484,30470.302734,27169.570313,27591.384766,27591.384766,129935327803
2023-04-24,27591.730469,29995.837891,27070.849609,29268.806641,29268.806641,137303647007
2023-05-01,29227.103516,29820.126953,27680.792969,28454.978516,28454.978516,114911964253
2023-05-08,28450.457031,28663.271484,25878.429688,26930.638672,26930.638672,109959496438
2023-05-15,26931.384766,27646.347656,26415.101563,26753.826172,26753.826172,84459727715
2023-05-22,26749.892578,28193.449219,25890.593750,28085.646484,28085.646484,90053064704
2023-05-29,28075.591797,28432.039063,26574.644531,27119.066406,27119.066406,91351657572
2023-06-05,27123.109375,27332.181641,25434.867188,25940.167969,25940.167969,116498927148
2023-06-12,25934.285156,26376.351563,25675.197266,25918.728516,25918.728516,25821364483
2023-06-14,25933.845703,26035.605469,24937.287109,25000.244141,25000.244141,13917796352
